id,clues,claveVariable,valor,mes,anio
85,CSSSA000045,EMB01,4,1,2014
86,CSSSA000045,EMB03,2,1,2014
87,CSSSA000045,EMB04,1,1,2014
88,CSSSA000045,EMB05,3,1,2014
89,CSSSA000045,EMB06,12,1,2014
90,CSSSA000045,EMA02,3,1,2014
91,CSSSA000045,EMA04,4,1,2014
99,CSSSA000045,PFC12,2,1,2014
100,CSSSA000045,PFC15,4,1,2014
101,CSSSA000045,PFC16,12,1,2014
102,CSSSA000045,PFC25,2,1,2014
115,CSSSA000045,EDA01,2,1,2014
116,CSSSA000045,EDA02,1,1,2014
117,CSSSA000045,EDA03,4,1,2014
118,CSSSA000045,EDA04,1,1,2014
119,CSSSA000045,EDA05,1,1,2014
262,CSSSA000050,EMB01,1,1,2014
263,CSSSA000050,EMB02,1,1,2014
264,CSSSA000050,EMB03,1,1,2014
265,CSSSA000050,EMB05,24,1,2014
266,CSSSA000050,EMB06,32,1,2014
267,CSSSA000050,EMA01,1,1,2014
268,CSSSA000050,EMA03,4,1,2014
269,CSSSA000050,EMA04,19,1,2014
271,CSSSA000050,EMO02,8,1,2014
288,CSSSA000050,PFC11,3,1,2014
289,CSSSA000050,PFC25,1,1,2014
290,CSSSA000050,PFC19,4,1,2014
291,CSSSA000050,PFC20,18,1,2014
318,CSSSA000050,NOP01,9,1,2014
319,CSSSA000050,NOP02,16,1,2014
320,CSSSA000050,NOP03,4,1,2014
321,CSSSA000050,NOP05,4,1,2014
322,CSSSA000050,NOP06,45,1,2014
323,CSSSA000050,EDA02,1,1,2014
324,CSSSA000050,EDA03,1,1,2014
410,CSSSA000050,PFU02,1,1,2014
411,CSSSA000050,PFU03,4,1,2014
412,CSSSA000050,PFU07,1,1,2014
413,CSSSA000050,PFU10,14,1,2014
414,CSSSA000050,PFU11,8,1,2014
415,CSSSA000050,PFU14,89,1,2014
416,CSSSA000050,PFU15,3,1,2014
417,CSSSA000050,PFU20,1,1,2014
429,CSSSA000050,NPT22,5,1,2014
430,CSSSA000050,NPT28,1,1,2014
431,CSSSA000050,NPT29,16,1,2014
432,CSSSA000050,NPT30,4,1,2014
433,CSSSA000050,NPT33,3,1,2014
440,CSSSA000050,NTB05,14,1,2014
441,CSSSA000050,NTB03,50,1,2014
615,CSSSA000062,EMB02,1,1,2014
616,CSSSA000062,EMB04,1,1,2014
617,CSSSA000062,EMA04,1,1,2014
618,CSSSA000062,EMO01,1,1,2014
619,CSSSA000062,PFC19,2,1,2014
620,CSSSA000062,PFC20,22,1,2014
637,CSSSA000062,NOP01,2,1,2014
638,CSSSA000062,NOP02,3,1,2014
639,CSSSA000062,NOP03,2,1,2014
640,CSSSA000062,NOP06,6,1,2014
663,CSSSA000062,PFU07,1,1,2014
664,CSSSA000062,PFU18,1,1,2014
